character,posts,series,features,attire
hatsune_miku,130491,vocaloid,long_hair twintails very_long_hair aqua_hair,
hakurei_reimu,93973,touhou,long_hair brown_hair,bow hair_bow detached_sleeves hair_tubes
kirisame_marisa,84548,touhou,blonde_hair long_hair,hat witch_hat bow
remilia_scarlet,61910,touhou,wings bat_wings red_eyes short_hair blue_hair,hat
flandre_scarlet,60622,touhou,wings blonde_hair red_eyes,hat mob_cap ribbon
izayoi_sakuya,53425,touhou,twin_braids short_hair grey_hair,maid_headdress maid
artoria_pendragon_(fate),45984,fate_(series),blonde_hair ahoge breasts green_eyes,
admiral_(kancolle),45730,kantai_collection,long_hair,hat
kochiya_sanae,40973,touhou,green_hair long_hair,hair_ornament detached_sleeves frog_hair_ornament snake_hair_ornament
cirno,40929,touhou,blue_hair wings short_hair blue_eyes ice_wings,bow hair_bow dress
alice_margatroid,40817,touhou,blonde_hair short_hair blue_eyes,hairband
komeiji_koishi,40791,touhou,third_eye green_hair green_eyes short_hair,hat shirt skirt long_sleeves frills
konpaku_youmu,40410,touhou,short_hair,hairband ribbon
patchouli_knowledge,39858,touhou,long_hair purple_hair purple_eyes,hat
yakumo_yukari,38323,touhou,blonde_hair long_hair,hat ribbon dress
shameimaru_aya,34170,touhou,short_hair black_hair red_eyes wings,hat tokin_hat skirt
reisen_udongein_inaba,31449,touhou,animal_ears rabbit_ears long_hair purple_hair red_eyes,
fujiwara_no_mokou,30773,touhou,long_hair red_eyes,bow hair_bow suspenders
akemi_homura,30702,mahou_shoujo_madoka_magica,long_hair black_hair purple_eyes,hairband
komeiji_satori,29766,touhou,third_eye short_hair pink_hair,hairband
kaname_madoka,29139,mahou_shoujo_madoka_magica,pink_hair twintails long_hair short_hair short_twintails,ribbon bow
hong_meiling,28665,touhou,long_hair twin_braids red_hair,hat
sensei_(blue_archive),28085,blue_archive,halo long_hair breasts,
saigyouji_yuyuko,28024,touhou,pink_hair short_hair,hat triangular_headpiece japanese_clothes
inubashiri_momiji,26694,touhou,animal_ears wolf_ears short_hair tail red_eyes,hat tokin_hat detached_sleeves
kaga_(kancolle),25452,kantai_collection,side_ponytail long_hair brown_hair,japanese_clothes
kagamine_rin,24425,vocaloid,blonde_hair short_hair blue_eyes,hair_ornament hairclip
yakumo_ran,23443,touhou,tail blonde_hair fox_tail short_hair multiple_tails,hat
konpaku_youmu_(ghost),22485,touhou,short_hair hitodama grey_hair blue_eyes,hairband ribbon black_hairband skirt
shimakaze_(kancolle),22200,kantai_collection,long_hair blonde_hair,gloves thighhighs elbow_gloves skirt striped_clothes
rumia,22198,touhou,blonde_hair short_hair red_eyes,ribbon hair_ribbon
kaenbyou_rin,22187,touhou,animal_ears cat_ears twin_braids red_hair red_eyes,bow hair_bow
moriya_suwako,22061,touhou,blonde_hair,hat ribbon
mash_kyrielight,21773,fate_(series),short_hair breasts hair_over_one_eye purple_eyes purple_hair,
chen,21203,touhou,animal_ears cat_ears tail multiple_tails short_hair,hat jewelry
saber_(fate),20597,fate_(series),blonde_hair ahoge green_eyes,
kazami_yuuka,20540,touhou,green_hair short_hair red_eyes,vest plaid_clothes ascot skirt plaid_vest
reiuji_utsuho,20456,touhou,long_hair wings red_eyes third_eye black_hair,bow hair_bow green_bow
warrior_of_light_(ff14),20452,final_fantasy,breasts animal_ears tail long_hair,
miki_sayaka,20296,mahou_shoujo_madoka_magica,short_hair blue_hair long_hair blue_eyes,
hibiki_(kancolle),20228,kantai_collection,long_hair blue_eyes grey_hair,hat school_uniform serafuku skirt
kawashiro_nitori,19361,touhou,two_side_up blue_hair blue_eyes short_hair,hat hair_ornament hair_bobbles
ganyu_(genshin_impact),18961,genshin_impact,horns blue_hair long_hair breasts ahoge,bell detached_sleeves gloves
shigure_(kancolle),18872,kantai_collection,ahoge single_braid long_hair hair_flaps blue_eyes,hair_ornament school_uniform serafuku
tatara_kogasa,18756,touhou,blue_hair short_hair heterochromia red_eyes blue_eyes,umbrella long_sleeves
hinanawi_tenshi,18745,touhou,long_hair blue_hair red_eyes,hat
link,18606,the_legend_of_zelda,pointy_ears blonde_hair blue_eyes,jewelry
kamishirasawa_keine,18516,touhou,long_hair,hat
lumine_(genshin_impact),18487,genshin_impact,blonde_hair breasts yellow_eyes hair_between_eyes short_hair_with_long_locks,hair_ornament flower hair_flower dress
