character,id
hatsune_miku,9107026
hakurei_reimu,2113051
kirisame_marisa,3187076
remilia_scarlet,3499386
flandre_scarlet,2904680
izayoi_sakuya,3511005
artoria_pendragon_(fate),9606504
admiral_(kancolle),2748111
kochiya_sanae,7278543
cirno,3187080
alice_margatroid,8547429
komeiji_koishi,7499255
konpaku_youmu,4176754
patchouli_knowledge,8178498
yakumo_yukari,1625927
shameimaru_aya,4705385
reisen_udongein_inaba,7885194
fujiwara_no_mokou,5737753
akemi_homura,8192877
komeiji_satori,5814897
kaname_madoka,7642779
hong_meiling,7488519
sensei_(blue_archive),9362307
saigyouji_yuyuko,3342948
inubashiri_momiji,8817311
kaga_(kancolle),5750409
kagamine_rin,4829662
yakumo_ran,8272032
shimakaze_(kancolle),6905469
rumia,3187078
kaenbyou_rin,6437772
moriya_suwako,2027611
mash_kyrielight,3357047
chen,4286599
kazami_yuuka,597838
reiuji_utsuho,6524083
warrior_of_light_(ff14),6584684
miki_sayaka,2662508
hibiki_(kancolle),3318938
kawashiro_nitori,9522446
ganyu_(genshin_impact),5550693
shigure_(kancolle),3019669
tatara_kogasa,6186401
hinanawi_tenshi,2056939
link,4479383
kamishirasawa_keine,2963140
lumine_(genshin_impact),5310275
scaramouche_(genshin_impact),5455589
houraisan_kaguya,6394282
fujimaru_ritsuka_(male),9729050
raiden_shogun,8433120
sakura_kyoko,2662507
souryuu_asuka_langley,7348172
tomoe_mami,9624247
koakuma,4723269
mystia_lorelei,4920938
inaba_tewi,3187083
fujimaru_ritsuka_(female),3510915
ibuki_suika,4580463
kagamine_len,9025740
kongou_(kancolle),4032489
inazuma_(kancolle),3082582
houshou_marine,7762765
yuuka_(blue_archive),7802992
inkling_player_character,8268880
gawr_gura,6260662
nazrin,6923224
akagi_(kancolle),2928877
pikachu,3933436
gotoh_hitori,5954053
gardevoir,5100576
hijiri_byakuren,3196813
hina_(blue_archive),5808923
princess_zelda,6472208
asuna_(blue_archive),9327791
jeanne_d'arc_alter_(fate),2997205
houjuu_nue,4433633
tenryuu_(kancolle),9460178
tifa_lockhart,6599616
abigail_williams_(fate),3261905
fubuki_(kancolle),4504844
mizuhashi_parsee,3543198
yasaka_kanako,4690296
megurine_luka,4402803
firefly_(honkai:_star_rail),7606334
yagokoro_eirin,2599063
yuudachi_(kancolle),3668397
hu_tao_(genshin_impact),4854924
shirakami_fubuki,4305673
ikazuchi_(kancolle),2428400
nero_claudius_(fate),9489678
hoshimachi_suisei,7815975
cloud_strife,5505662
kasane_teto,9037171
mika_(blue_archive),6225360
akatsuki_(kancolle),3334123
kagiyama_hina,2281352
zuikaku_(kancolle),2999355
nanami_chiaki,4942856
2b_(nier:automata),7991949
toyosatomimi_no_miko,4469673
hamakaze_(kancolle),7668852
haruna_(kancolle),9016122
furina_(genshin_impact),9470423
suzumiya_haruhi,5188067
aether_(genshin_impact),7812661
nagato_(kancolle),5032178
hoshino_(blue_archive),7347067
frieren,6854721
hoshiguma_yuugi,5806247
fate_testarossa,8254631
usami_renko,7500729
yae_miko,7257465
daiyousei,5136849
nahida_(genshin_impact),6073670
illyasviel_von_einzbern,2647502
nishizumi_miho,2528152
producer_(idolmaster),4442758
morichika_rinnosuke,5469703
wriggle_nightbug,7977764
maribel_hearn,7500730
kashima_(kancolle),7393555
shiki_eiki,8461425
mori_calliope,7313897
shanghai_doll,5414618
ouro_kronii,5625456
tohsaka_rin,3395399
mononobe_no_futo,3172247
onozuka_komachi,4167367
akiyama_mio,9410916
imaizumi_kagerou,3656121
trainer_(umamusume),5500061
usada_pekora,7815971
rem_(re:zero),4590017
doctor_(arknights),3836739
tamamo_no_mae_(fate),690686
misaka_mikoto,4353850
