character,id,favs,posts
konpaku_youmu_(ghost),950541,304,4395
inkling_girl,3174180,176,3636
wanderer_(genshin_impact),5867105,109,3117
saber_(fate),3967216,260,2822
shigure_kai_ni_(kancolle),3073998,136,2296
yuki_miku,8081957,93,2069
kasane_teto_(sv),6195000,81,1929
gawr_gura_(1st_costume),4564995,130,1805
basil_(omori),5808363,43,1684
yuudachi_kai_ni_(kancolle),2141773,143,1661
kasane_teto_(utau),603553,63,1377
agnes_tachyon_(tach-nology)_(umamusume),9621965,168,1362
kaname_madoka_(magical_girl),901669,119,1292
magical_mirai_miku,4011520,65,1285
boo_tao_(genshin_impact),5288549,474,1249
akemi_homura_(magical_girl),1095065,181,1187
march_7th_(preservation)_(honkai:_star_rail),6262055,135,1149
sakura_miku,8158469,239,1105
basil_(faraway)_(omori),5808363,43,1103
octoling_girl,3388441,51,987
abigail_williams_(first_ascension)_(fate),2946551,101,962
natori_sana_(nurse),3139949,61,902
trailblazer_(honkai:_star_rail),7148391,165,834
dodoco_(genshin_impact),4195162,85,807
raising_heart,598790,100,738
hoshimachi_suisei_(1st_costume),4779247,121,735
la+_darknesss_(1st_costume),4940055,117,725
okita_souji_(koha-ace),8435283,103,702
verniy_(kancolle),2630243,108,693
cyrene_(aedes_elysiae)_(honkai:_star_rail),8715356,53,685
sendai_kai_ni_(kancolle),2376585,95,672
oberon_(third_ascension)_(fate),6551736,46,657
twin_turbo_(blast_mode!_turbo_engine)_(umamusume),5084411,39,649
scaramouche_(kabukimono)_(genshin_impact),8179085,41,642
aris_(maid)_(blue_archive),6864029,63,596
basil_(headspace)_(omori),6262981,27,595
minato_aqua_(sailor),4418639,65,595
doodle_sensei_(blue_archive),6164192,143,577
fubuki_kai_ni_(kancolle),3396824,124,576
dimitri_alexandre_blaiddyd_(timeskip),6024897,35,566
mari_(track)_(blue_archive),5770433,104,549
tomoe_mami_(magical_girl),881271,83,548
stelle_(honkai:_star_rail),7148391,165,547
suzuran_(spring_praise)_(arknights),5928976,45,540
tokoyami_towa_(jirai_kei),4517391,86,540
kasumi_kai_ni_(kancolle),3400440,66,533
manhattan_cafe_(creeping_black)_(umamusume),3076119,113,530
jumpy_dumpty,5890215,75,523
aubrey_(faraway)_(omori),5513525,40,519
mortis_(bang_dream!),9236936,27,510
asashio_kai_ni_(kancolle),2940297,94,508
texas_the_omertosa_(arknights),5862560,100,503
bardiche_(nanoha),8158469,239,503
silence_suzuka_(innocent_silence)_(umamusume),5714832,58,498
elysia_(herrscher_of_human:_ego)_(honkai_impact),5573309,90,493
kamisato_ayaka_(springbloom_missive),5988155,104,490
tokai_teio_(peak_joy)_(umamusume),5527651,82,489
miki_sayaka_(magical_girl),931313,85,487
ex-keine,639847,286,485
inkling_boy,2333091,26,477
tsukino_mito_(1st_costume),3105064,92,475
hoshimachi_suisei_(casual),6422497,223,458
mortis_(costume)_(bang_dream!),8847732,22,446
watson_amelia_(1st_costume),4131053,152,437
hyakumantenbara_salome_(1st_costume),5417127,88,435
hoshimachi_suisei_(sailor),6666232,116,430
hina_(dress)_(blue_archive),7171428,119,430
oblivionis_(bang_dream!),8835233,54,426
artoria_caster_(fate),9220964,96,423
nanashi_mumei_(1st_costume),5011169,149,422
zero(z)_(mega_man),564290,199,419
skadi_the_corrupting_heart_(arknights),5458712,101,413
inugami_korone_(1st_costume),3971724,101,412
still_in_love_(scarlet_vow_raiment)_(umamusume),7257581,75,409
mega_gardevoir,3122841,36,405
lappland_the_decadenza_(arknights),8356439,70,404
shirakami_fubuki_(1st_costume),9324289,143,402
gold_ship_(red_strife)_(umamusume),8323343,107,398
saber_alter,3329455,144,393
ookami_mio_(hoodie),3753513,160,383
dan_heng_(imbibitor_lunae)_(honkai:_star_rail),7327164,59,382
scaramouche_(cat)_(genshin_impact),6088564,102,381
nugget_(project_moon),6149098,40,375
okamisty,657793,158,373
hina_(pajamas)_(blue_archive),6075906,111,372
cu_chulainn_(lancer)_(fate),5649986,188,369
march_7th_(hunt)_(honkai:_star_rail),8054536,81,360
nekomata_okayu_(1st_costume),5319896,111,358
kazusa_(band)_(blue_archive),7124038,92,357
firefly_(spring_missive)_(honkai:_star_rail),9634085,66,355
inui_toko_(1st_costume),3747766,83,351
mari_(idol)_(blue_archive),8373016,72,345
employee_(project_moon),6149098,40,344
evernight_(honkai:_star_rail),9736032,81,338
sakura_kyoko_(magical_girl),5256275,78,336
okita_souji_(third_ascension)_(fate),2526029,81,335
sunday_(sacerdos'_relived_ordeal)_(honkai:_star_rail),8222785,45,334
kinomoto_sakura_(magician),4422735,90,333
pyonta,542784,123,332
wei_wuxian_(yiling_laozu),5938468,21,330
kongou_kai_ni_(kancolle),2985000,152,327
elysia_(miss_pink_elf)_(honkai_impact),5399565,151,326
haruna_kai_ni_(kancolle),2671832,70,325
luo_xiaohei,7550036,36,323
kel_(omori),6324140,41,322
amane_kanata_(1st_costume),6885876,61,322
mysterious_heroine_x_alter_(fate),3116442,92,320
mari_(headspace)_(omori),5563020,26,319
rice_shower_(rosy_dreams)_(umamusume),9696148,76,316
oda_nobunaga_(koha-ace),5140669,297,312
oguri_cap_(starlight_beat)_(umamusume),9684709,63,312
juufuutei_raden_(1st_costume),6806550,111,311
kaenbyou_rin_(cat),633192,123,303
usada_pekora_(casual),5004014,50,299
mejiro_mcqueen_(frontline_elegance)_(umamusume),5335831,59,297
minato_aqua_(1st_costume),3931939,58,297
suzuhara_lulu_(1st_costume),7436979,124,296
shigure_kai_san_(kancolle),8413045,52,292
manjuu_(azur_lane),5480407,121,290
viy_(fate),3649741,88,288
suzuya_kai_ni_(kancolle),5447259,66,285
suzuran_(yukibare)_(arknights),6202260,41,284
amane_kanata_(work),4507272,89,283
boko_(girls_und_panzer),3981705,87,282
bloop_(gawr_gura),4190169,155,282
timoris_(bang_dream!),8880393,23,282
ange_katrina_(1st_costume),3455079,66,281
nerissa_ravencroft_(1st_costume),6528087,120,281
maki_(camp)_(blue_archive),9331556,95,281
shigure_ui_(vtuber)_(1st_costume),5447649,67,280
ultimate_madoka,8158469,239,279
caelus_(honkai:_star_rail),6271243,164,279
herta_(puppet)_(honkai:_star_rail),6285839,197,277
ninomae_ina'nis_(casual),4533581,80,276
cinnamiku,5519782,36,276
lappland_(refined_horrormare)_(arknights),6033288,76,275
cyrene_(ripples_of_past_reverie)_(honkai:_star_rail),10007261,21,274
meguru_(cookie),3585267,36,273
doloris_(bang_dream!),8787216,28,273
nakiri_ayame_(1st_costume),4915780,208,272
mari_(faraway)_(omori),6038624,47,272
king_halo_(king_of_emeralds)_(umamusume),5585209,45,271
matikanetannhauser_(panpaka_tiltott)_(umamusume),9750413,56,269
hatsune_miku_(nt),8081957,93,269
alice_margatroid_(pc-98),989806,84,267
gawr_gura_(casual),4907649,137,266
hero_(omori),6775968,17,264
reed_the_flame_shadow_(arknights),5910362,119,263
hakurei_reimu_(pc-98),716872,129,261
kayoko_(new_year)_(blue_archive),6164871,99,260
togawa_sakiko_(master_of_melodia),9903277,32,259
koseki_bijou_(1st_costume),6558665,83,259
joseph_joestar_(young),3914282,27,259
texas_(willpower)_(arknights),6659482,88,257
jeanne_d'arc_alter_(avenger)_(fate),5649986,188,256
shiori_novella_(1st_costume),6528714,113,254
satono_diamond_(natural_brilliance)_(umamusume),9880187,43,254
nice_nature_(poinsettia_ribbon)_(umamusume),9073236,55,252
sakura_miko_(casual),5754574,66,252
nanashi_mumei_(casual),6211541,112,250
ouro_kronii_(maid),9228522,183,250
takakura_ken_(transformed)_(dandadan),5773365,35,247
uruha_rushia_(1st_costume),3977441,190,246
hiodoshi_ao_(1st_costume),7131368,55,246
makaino_ririmu_(4th_costume),4211112,39,246
joker_(persona_5),6726178,39,243
kei_(robot)_(blue_archive),6864029,63,241
abigail_williams_(traveling_outfit)_(fate),4150168,101,240
takamachi_nanoha_(sacred_mode),670870,89,240
kinugasa_kai_ni_(kancolle),4866590,37,239
rice_shower_(make_up_vampire!)_(umamusume),6058235,38,239
amiya_(medic)_(arknights),8639466,57,238
murakumo_kai_ni_(kancolle),2327867,64,238
artoria_caster_(second_ascension)_(fate),6930553,83,238
flower_(vocaloid4),3754239,32,237
kris_(dark_world)_(deltarune),3392719,34,237
specter_the_unchained_(arknights),6016535,67,237
magical_mirai_miku_(2016),2839070,55,236
oberon_(first_ascension)_(fate),6153968,29,236
usada_pekora_(1st_costume),3814135,80,235
texas_(winter_messenger)_(arknights),3578241,106,232
rover_(wuthering_waves),7692224,88,231
haro,1004971,80,231
eyjafjalla_the_hvit_aska_(arknights),8212443,41,230
satsuki_kai_ni_(kancolle),2740409,54,230
houshou_marine_(1st_costume),4242492,77,229
musashi_kai_ni_(kancolle),4992639,57,229
alcremie,3832530,70,227
cecilia_immergreen_(1st_costume),7734707,77,226
klee_(blossoming_starlight)_(genshin_impact),6646211,58,226
slime_(genshin_impact),5497315,102,226
octoling_boy,6092355,19,225
azki_(4th_costume)_(hololive),8697646,121,225
nemo_(fate),6019702,41,225
matikanefukukitaru_(rising_fortune)_(umamusume),9774728,38,225
kel_(faraway)_(omori),6324140,41,224
luo_xiaohei_(cat),7550036,36,224
hu_tao_(cherries_snow-laden)_(genshin_impact),8851990,101,223
natori_sana_(school_uniform),3280212,39,222
the_herta_(honkai:_star_rail),8710131,143,221
mysterious_heroine_x_alter_(first_ascension)_(fate),3937092,86,219
25-ji_miku,8081423,72,218
baobhan_sith_(first_ascension)_(fate),4585829,118,218
hatsune_miku_(vocaloid4),6199706,126,218
shameimaru_aya_(newsboy),2297215,73,218
daiwa_scarlet_(peak_blue)_(umamusume),9729256,69,216
graf_eisen,829867,37,215
kazami_yuuka_(pc-98),924013,218,214
selen_tatsuki_(1st_costume),5821657,79,213
mutsuki_kai_ni_(kancolle),2269867,41,213
su-san,963560,62,211
nanashi_mumei_(emo),7259920,110,210
kisaragi_kai_ni_(kancolle),3677928,29,209
cheval_grand_(grand_itineraire)_(umamusume),8866573,35,209
diyusi_(cookie),3746032,26,209
gigi_murin_(1st_costume),8479887,89,207
hatsune_miku_(noodle_stopper),7689053,53,207
sephiroth_(ever_crisis),7448968,13,206
tanned_cirno,2699568,88,206
medea_(fate),6475868,165,206
naganami_kai_ni_(kancolle),3009151,34,206
cure_black,4422862,29,205
fu_hua_(azure_empyrea),4269384,68,205
takane_lui_(1st_costume),6149821,131,204
curren_chan_(fille_eclair)_(umamusume),3076208,37,204
crow_(la+_darknesss),4940055,117,203
ookami_mio_(1st_costume),3460941,105,203
fubuki_(spring)_(kancolle),6300546,120,200
wakaba_mutsumi_(marionette's_id),9901945,16,200
roger_(guilty_gear),5677339,84,198
otonose_kanade_(1st_costume),8854716,51,197
edelgard_von_hresvelg_(timeskip),5904679,84,196
oberon_(second_ascension)_(fate),4597738,19,196
surintendante_chevalmarin,6913098,103,194
rotom,7267234,63,194
hakui_koyori_(1st_costume),5437583,80,194
irene_(the_adjudicatrix_and_her_resolve)_(arknights),8418225,50,192
ninomae_ina'nis_(1st_costume),4099094,366,192
crystal_exarch,5460039,19,191
medea_(caster)_(fate),6475868,165,191
haguro_kai_ni_(kancolle),3330084,39,191
midori_(maid)_(blue_archive),7661073,77,190
murasame_kai_ni_(kancolle),2989564,58,189
sweep_tosho_(platanus_witch)_(umamusume),5222259,47,189
yuki_miku_(2017),2839070,55,188
aubrey_(headspace)_(omori),7022360,36,187
kazama_iroha_(1st_costume),5647016,145,187
ashigara_kai_ni_(kancolle),2735032,125,186
haru_urara_(bestest_prize)_(umamusume),9936620,127,186
special_week_(special_dreamer)_(umamusume),4759220,42,185
irene_(voyage_of_feathers)_(arknights),6263352,56,185
shigure_ui_(vtuber)_(young),3760868,78,185
magical_mirai_miku_(2021),5930900,50,185
captain_nemo_(fate),6019702,41,185
cure_dream,4422735,90,185
shirakami_fubuki_(street),4010242,129,185
oozora_subaru_(1st_costume),4365561,90,184
suo_sango_(1st_costume),5184284,52,184
minato_aqua_(school_uniform),6310109,50,182
yukikaze_kai_ni_(kancolle),4207089,23,180
sebastian_piyodore,6528574,61,179
nyon_(cookie),3437175,53,178
yuzu_(maid)_(blue_archive),6573418,56,178
sailor_mercury,969789,66,178
arashio_kai_ni_(kancolle),5620282,82,178
saber_lily,2085481,196,177
van_gogh_(first_ascension)_(fate),5799847,46,177
hoshino_(first_year)_(blue_archive),5282247,112,176
reiuji_utsuho_(bird),859038,187,176
symboli_rudolf_(emperor's_path)_(umamusume),4839913,63,176
naka_kai_ni_(kancolle),2424227,48,175
arcane_jinx,8479987,64,175
exusiai_the_new_covenant_(arknights),9225675,65,175
yuki_miku_(2013),2839070,55,174
amiya_(medic)_(solo_around_the_world)_(arknights),8639466,57,174
medusa_(rider)_(fate),139332,188,174
okita_souji_(first_ascension)_(fate),2209512,64,173
magical_mirai_miku_(2024),7454503,23,173
yuki_miku_(2011),2839070,55,172
chou-10cm-hou-chan,4174652,58,172
momoi_(maid)_(blue_archive),7661073,77,172
fu_hua_(fenghuang_of_vicissitude),7109655,70,172
