series,id,favs,chars,cast,posts
touhou,1026897,740,19,261,322780
pokemon,446270,367,1,1297,170212
kantai_collection,2361424,97,229,641,165625
genshin_impact,5288549,474,2,232,91334
blue_archive,7607548,319,1,331,87409
vocaloid,6172178,115,149,120,79751
umamusume,9627053,381,2,271,79356
fate_(series),7734298,51,442,483,72762
hololive,4339560,284,1,434,69481
arknights,4639548,119,201,391,67593
original,602214,327,1,557,63785
idolmaster,3935409,389,1,333,61967
fate/grand_order,7734298,51,442,440,52503
honkai_(series),7624794,260,3,174,51468
love_live!,2856619,305,1,62,46392
honkai:_star_rail,6416835,149,33,112,40926
fire_emblem,3800759,242,2,372,38038
nijisanji,3070571,198,3,299,35408
final_fantasy,5073902,181,5,228,33649
danganronpa_(series),1514855,85,15,72,31905
gundam,1437589,186,78,217,30912
bang_dream!,3761172,29,44,58,28204
project_moon,8500897,33,219,48,24391
mahou_shoujo_madoka_magica,890963,247,14,68,23189
link!_like!_love_live!,7333933,16,43,33,22224
one_piece,547876,198,11,87,19204
precure,1353308,190,4,170,18519
kemono_friends,2645771,38,367,161,18149
limbus_company,8347680,70,16,11,16757
project_sekai,6460026,25,36,28,16269
utau,381923,87,35,18,15993
zenless_zone_zero,9579122,106,52,72,15308
bocchi_the_rock!,5960784,135,15,13,15288
chainsaw_man,5925823,33,28,35,15202
indie_virtual_youtuber,9195201,168,3,80,14963
girls_und_panzer,2628172,130,55,100,14698
girls'_frontline,3414846,653,4,235,14434
jojo_no_kimyou_na_bouken,7867443,185,8,118,14107
reverse:1999,7000000,1479,1,74,14067
persona,2931082,206,6,76,13904
the_legend_of_zelda,1004160,239,18,61,13681
splatoon_(series),3174180,176,2,55,13644
yu-gi-oh!,6157015,47,110,140,12859
omori,5515692,21,39,32,12467
saibou_shinkyoku,9003964,1,26,23,10435
mega_man_(series),564290,199,2,53,10066
sonic_(series),6427171,68,29,32,9861
boku_no_hero_academia,5839137,45,60,56,9828
dragon_ball,3367250,44,71,75,9811
azur_lane,5462142,268,1,436,9685
kirby_(series),331972,78,56,51,9500
voiceroid,1347619,63,42,15,9473
mario_(series),4598514,191,2,52,9458
ragnarok_online,6204,76,4,82,9195
jujutsu_kaisen,5779611,37,54,31,9012
digimon,874093,35,62,73,8975
real_life,651214,93,16,8,8606
neon_genesis_evangelion,1460251,67,28,26,8408
sousou_no_frieren,7365713,38,36,20,8368
gakuen_idolmaster,8459817,29,12,13,8063
utdr_(toby_fox),2185368,82,24,23,7990
dungeon_meshi,7388198,27,26,26,7653
magia_record:_mahou_shoujo_madoka_magica_gaiden,3036947,72,15,28,7275
girls_band_cry,7755838,30,6,7,7149
kimetsu_no_yaiba,3709235,79,39,33,6967
ensemble_stars!,6975607,9,30,50,6922
