tag,count
sitting,1158941
standing,1145683
open_clothes,626952
lying,548981
holding_weapon,340846
spread_legs,311892
on_back,311470
open_jacket,307102
arm_up,261055
arms_up,230252
head_tilt,166375
bare_legs,164774
zettai_ryouiki,162133
hug,151827
kneeling,144861
holding_sword,144136
leaning_forward,142999
open_shirt,142182
glowing,124384
holding_food,123312
bottomless,114576
arm_support,112338
on_side,109093
arms_behind_back,107770
squatting,107686
standing_on_one_leg,105764
crossed_arms,105662
eating,104030
wariza,100419
shirt_lift,99932
leg_up,99464
own_hands_together,98614
crying,98092
trembling,94775
crossed_legs,93819
sleeping,90424
skirt_lift,89090
holding_cup,87491
straddling,86918
topless_female,86384
holding_gun,83875
outstretched_arms,82941
outstretched_arm,82347
holding_phone,81106
on_stomach,80348
kiss,78734
underwear_only,77516
bent_over,76285
building,74330
no_pants,72636
all_fours,71437
knees_up,68686
drooling,68680
undressing,68057
meme,68003
revealing_clothes,65394
foreshortening,63318
hood_up,63272
arms_behind_head,62684
interlocked_fingers,59716
open_coat,59219
holding_book,59126
carrying,57495
clothing_aside,55856
covering_privates,55789
arm_at_side,55225
licking,51648
floating,51462
knee_up,50278
topless_male,49303
walking,47304
crossdressing,47173
arm_behind_back,46916
wading,46883
seiza,46166
heavy_breathing,45345
masturbation,45223
legs_apart,44418
arm_behind_head,44049
goggles_on_head,43279
holding_umbrella,43011
legs_up,42436
fingering,41234
shirt_tucked_in,40384
flying,39899
running,38844
knees_together_feet_apart,38397
dual_wielding,37313
contrapposto,36396
holding_unworn_clothes,34251
holding_flower,33762
hug_from_behind,33316
arms_at_sides,32929
holding_knife,32408
snowing,32397
upside-down,31867
v_arms,31594
adjusting_clothes,31001
holding_bag,30539
hugging_object,30342
jumping,30339
outstretched_hand,29758
sitting_on_person,29545
fighting_stance,29323
smoking,29280
covering_own_mouth,28568
skirt_hold,28535
holding_polearm,26309
holding_bottle,26134
spread_arms,25487
top-down_bottom-up,25364
holding_microphone,24831
holding_tray,24465
yokozuwari,24126
holding_instrument,23966
mask_on_head,23894
arched_back,23508
drinking,23483
leaning_back,23473
talking,22300
open_cardigan,22247
reading,21407
back-to-back,21390
unbuttoned,21019
leg_lift,20661
holding_animal,20509
riding,20305
holding_bouquet,20109
stretching,19812
laughing,19625
battle,19557
dancing,19535
holding_stuffed_toy,19425
unzipped,18969
indian_style,18719
naked_shirt,18586
presenting,18578
holding_plate,18345
hip_vent,17796
hugging_own_legs,17570
face-to-face,17280
facepaint,17137
bathing,17064
playing_instrument,17048
unworn_shoes,16890
holding_fruit,16881
princess_carry,16836
open_kimono,16820
holding_another's_wrist,16681
on_one_knee,16282
naked_towel,15902
covering_crotch,15790
sitting_on_lap,15273
coat_on_shoulders,15152
singing,14839
holding_chopsticks,14790
folded,14449
biting,14449
holding_spoon,14399
holding_fork,14321
kicking,14261
torn_shirt,14248
falling,14212
pants_pull,14049
holding_can,14029
holding_cigarette,13873
pantyhose_pull,13730
split,13629
holding_candy,13537
peeing,13471
moaning,13447
aiming,13397
no_shirt,13365
holding_bow_(weapon),13179
heads_together,13169
clothes_grab,13038
pose,12907
holding_card,12837
holding_paper,12528
splashing,12411
open_vest,12304
naked_apron,12173
jacket_partially_removed,11959
yawning,11928
dripping,11887
shouting,11824
torn_pants,11638
holding_camera,11619
mind_control,11591
holding_ball,11303
holding_pen,11255
standing_split,11214
skirt_pull,11199
feeding,11188
recording,11023
broom_riding,10999
cooking,10975
between_fingers,10809
untied_bikini,10689
bikini_pull,10637
punching,10354
reclining,10253
unworn_skirt,10251
open_hoodie,9969
shirt_pull,9917
covering_face,9759
holding_shield,9703
playing_games,9665
sweater_lift,9604
unworn_jacket,9545
twisted_torso,9447
holding_bowl,9429
firing,9240
holding_broom,9221
shorts_pull,8965
mixed-sex_bathing,8814
midair,8782
holding_box,8473
dressing,8457
holding_axe,8415
no_socks,8312
holding_mask,8200
holding_towel,8186
pussy_peek,8139
bikini_bottom_aside,8115
strap_pull,7908
unsheathing,7855
holding_pom_poms,7831
holding_drink,7759
unworn_mask,7671
pouring,7635
locked_arms,7402
poking,7374
jacket_around_waist,7366
torn_skirt,7356
imagining,7347
holding_another's_arm,7336
naked_ribbon,7334
leotard_aside,7306
holding_dagger,7233
unbuttoned_shirt,7197
knees_to_chest,7184
drawing_(object),7175
goggles_on_headwear,7031
fighting,6925
one-piece_swimsuit_pull,6912
flashing,6795
arm_hug,6755
crossed_ankles,6692
w_arms,6687
bleeding,6540
leaning,6438
upright_straddle,6427
cheek-to-cheek,6392
bikini_top_lift,6378
holding_doll,6366
biting_own_lip,6365
swimsuit_aside,6359
holding_popsicle,6342
nude_cover,6311
mask_pull,6293
twitching,6273
swimming,6192
holding_controller,6134
holding_basket,6091
holding_paintbrush,6014
smelling,5967
throwing,5943
holding_behind_back,5855
holding_smoking_pipe,5833
holding_hammer,5809
holding_plectrum,5757
aiming_at_viewer,5753
unworn_shirt,5743
holding_cat,5737
holding_underwear,5705
writing,5513
driving,5383
adjusting_swimsuit,5318
hiding,5286
holding_sheath,5259
holding_arrow,5204
leg_lock,5200
torn_cape,5189
petting,5132
holding_handheld_game_console,5092
holding_lantern,5076
holding_syringe,5065
torn_bodysuit,5003
head_back,5000
praying,4969
pinching,4924
blowing_bubble_gum,4916
watson_cross,4889
holding_condom,4867
torn_shorts,4819
holding_swim_ring,4768
wedding,4644
holding_sack,4567
cheating_(relationship),4527
holding_guitar,4507
open_shorts,4501
shirt_tug,4500
holding_pencil,4460
fetal_position,4452
horseback_riding,4379
giving,4353
peeking,4331
cuddling,4320
naked_jacket,4295
melting,4280
burning,4222
holding_gohei,4187
untucked_shirt,4178
skirt_tug,4175
tribadism,4157
grabbing,4156
holding_stick,4083
flexing,4082
untied,4055
holding_ice_cream,3962
clothes_down,3905
holding_cane,3884
spilling,3848
hand_in_panties,3807
holding_shoes,3785
swing,3767
holding_scissors,3763
zombie_pose,3744
licking_finger,3738
teasing,3705
cheek_pinching,3700
leotard_pull,3675
holding_sex_toy,3630
holding_pillow,3614
covering_nipples,3612
knees_apart_feet_together,3603
holding_water_gun,3584
spinning,3574
dreaming,3573
naked_coat,3528
tickling,3506
untied_panties,3505
sweater_around_waist,3464
drawing_(action),3417
pulling,3377
skirt_around_one_leg,3330
no_jacket,3300
thigh_cutout,3298
naked_bandage,3276
open_skirt,3240
chasing,3213
pole_dancing,3163
holding_leaf,3163
holding_ladle,3155
fishing,3155
wrestling,3127
open_pants,3117
unworn_boots,3081
spanking,3060
drying,3058
undone_necktie,2995
head_down,2987
naked_sheet,2943
torn_jeans,2943
whispering,2935
painting_(action),2927
chewing,2889
crotch_rub,2873
cheering,2814
torn_leotard,2800
holding_fishing_rod,2793
holding_tablet_pc,2785
spitting,2735
unworn_bikini_top,2731
open_belt,2721
unworn_socks,2708
holding_vegetable,2688
holding_stylus,2684
carrying_under_arm,2662
licking_another's_face,2659
naked_cape,2655
drawing_bow,2649
unworn_sandals,2636
holding_jacket,2635
holding_hose,2620
spooning,2610
forehead-to-forehead,2587
holding_violin,2560
hanging,2553
voyeurism,2549
holding_saucer,2515
holding_bucket,2515
applying_makeup,2506
cleaning,2481
ribbon_in_mouth,2440
holding_envelope,2437
cardigan_around_waist,2431
holding_notebook,2420
holding_megaphone,2401
holding_chocolate,2393
shirt_in_mouth,2341
holding_ribbon,2311
slapping,2310
holding_drumsticks,2302
holding_cotton_candy,2252
shirt_grab,2250
holding_pizza,2241
frottage,2229
naked_hoodie,2218
thighhighs_pull,2201
unworn_coat,2197
clapping,2195
comforting,2167
torn_jacket,2166
hitting,2161
ballet,2152
holding_jewelry,2134
holding_riding_crop,2123
bowlegged_pose,2123
dropping,2115
holding_letter,2110
child's_drawing,2107
freediving,2093
shaking,2091
outstretched_leg,2056
unworn_dress,2053
untying,2048
holding_burger,2046
holding_another's_leg,2045
balancing,2024
\o/,2013
holding_creature,1997
holding_suitcase,1992
holding_branch,1988
jojo_pose,1982
climbing,1981
crotch_cutout,1976
diving_mask_on_head,1976
kimono_pull,1964
holding_ice_cream_cone,1951
holding_teapot,1944
penis_peek,1936
pants_tucked_in,1925
no_mask,1920
unworn_swimsuit,1903
torn_panties,1901
hoodie_lift,1872
slashing,1866
blowing_bubbles,1865
covering_one_eye,1849
holding_wrench,1848
shopping,1836
loose_shirt,1835
leotard_peek,1806
holding_money,1801
holding_microphone_stand,1796
hand_under_shirt,1782
holding_detached_head,1780
ojou-sama_pose,1779
holding_cake,1778
holding_frying_pan,1777
legs_over_head,1776
unzipping,1760
holding_bow_(music),1754
holding_flute,1754
holding_crepe,1753
strap_lift,1747
head_on_chest,1741
holding_candy_apple,1720
holding_coin,1717
holding_skull,1714
pushing,1705
nearly_naked_apron,1696
holding_mop,1691
theft,1684
penises_touching,1679
text_messaging,1663
buruma_pull,1662
hat_on_back,1649
holding_test_tube,1648
naked_overalls,1640
holding_scroll,1632
handstand,1628
torn_bodystocking,1610
playing,1609
holding_toy,1603
licking_armpit,1594
holding_lipstick_tube,1575
jacket_pull,1572
group_hug,1565
holding_mirror,1562
holding_own_leg,1560
open_bodysuit,1559
ghost_pose,1557
dragging,1549
playing_sports,1547
holding_photo,1546
blowing,1545
watching_television,1543
misunderstanding,1523
shorts_around_one_leg,1515
holding_briefcase,1512
holding_quill,1497
bikini_bottom_pull,1480
torn_swimsuit,1461
hugging_tail,1460
holding_fish,1446
holding_skewer,1445
wringing_clothes,1433
kimono_lift,1432
child_carry,1430
breaking,1429
holding_shovel,1416
dissolving,1410
holding_swimsuit,1405
holding_scepter,1401
holding_spatula,1398
humping,1391
butterfly_sitting,1383
holding_glowstick,1383
camisole_lift,1378
holding_cross,1369
coat_partially_removed,1369
sweater_tucked_in,1360
naked_scarf,1358
holding_key,1358
holding_magnifying_glass,1357
unworn_bikini,1354
apron_lift,1352
crawling,1347
holding_shirt,1347
holding_necklace,1342
skirt_flip,1342
holding_toothbrush,1333
sneezing,1331
male_underwear_pull,1322
holding_newspaper,1321
noses_touching,1312
buruma_aside,1284
unworn_bikini_bottom,1283
holding_plant,1281
sports_bra_lift,1279
protecting,1264
