tag,count
shirt,2355358
long_sleeves,1970713
skirt,1923082
hair_ornament,1769223
gloves,1684176
dress,1644368
hat,1502419
bow,1470484
thighhighs,1419181
ribbon,1330190
jacket,1200792
white_shirt,1112362
school_uniform,971068
collarbone,969351
swimsuit,821020
short_sleeves,784376
panties,778192
flower,770052
hair_ribbon,733489
earrings,711750
shoes,709159
hair_bow,661075
pantyhose,659752
frills,635218
bikini,624897
pleated_skirt,623652
boots,622519
hairband,603228
collared_shirt,590479
necktie,558181
shorts,556561
black_gloves,555632
pants,554655
sleeveless,535391
detached_sleeves,517801
choker,516423
socks,502424
japanese_clothes,482143
black_thighhighs,457374
glasses,452092
puffy_sleeves,443327
belt,430914
hairclip,410962
bowtie,392701
serafuku,381705
black_skirt,381206
elbow_gloves,376122
white_gloves,374989
hood,371983
white_dress,356022
sailor_collar,347200
hair_flower,346689
miniskirt,329445
fingerless_gloves,324302
wide_sleeves,315873
necklace,315023
black_jacket,305470
black_dress,304347
white_thighhighs,301801
kimono,297769
coat,296928
black_shirt,283727
armor,271572
vest,270225
red_bow,269409
cape,268165
apron,262112
black_pantyhose,262099
leotard,259381
scarf,255658
sweater,253128
high_heels,249891
bra,247597
crop_top,241784
collar,238514
bracelet,237935
red_ribbon,228731
fingernails,227842
white_panties,226917
puffy_short_sleeves,222818
blue_skirt,220445
neckerchief,220223
clothing_cutout,217951
black_shoes,215207
black_choker,208344
sleeves_past_wrists,201557
thigh_strap,201357
fur_trim,198632
black_pants,194171
sleeveless_dress,191080
sleeveless_shirt,190029
see-through_clothes,188232
fake_animal_ears,186845
wrist_cuffs,185964
maid,184449
torn_clothes,184178
black_bow,181710
white_socks,181708
maid_headdress,179177
buttons,179135
black_hat,177610
neck_ribbon,176916
sash,176568
ascot,173804
short_shorts,171560
cosplay,167908
one-piece_swimsuit,167677
hoodie,167676
black_ribbon,167403
black_panties,165067
detached_collar,160247
black_shorts,157138
kneehighs,156175
bodysuit,154372
mask,153647
blue_dress,153521
turtleneck,152270
dress_shirt,151057
black_boots,150612
white_jacket,149201
blue_bow,148121
capelet,147057
bell,144114
black_bikini,142593
piercing,139940
red_skirt,138116
chinese_clothes,137694
sandals,130988
black_socks,130866
blue_shirt,130706
halterneck,128948
playboy_bunny,127535
beret,127340
blue_jacket,124792
headband,123235
witch_hat,122641
sunglasses,121874
headphones,121226
no_bra,121148
frilled_dress,120279
white_bikini,119705
white_hat,119340
black_hairband,119291
red_dress,118538
side-tie_bikini_bottom,118358
military_uniform,117813
hood_down,117501
white_bow,116397
short_dress,115365
bandages,114542
white_skirt,114387
plaid_skirt,114254
no_panties,111895
floral_print,111262
thigh_boots,110995
umbrella,109568
ring,107517
garter_straps,102257
cardigan,102030
tank_top,100509
obi,99941
helmet,98907
frilled_sleeves,97950
pink_bow,97263
red_necktie,96665
frilled_skirt,95543
blue_ribbon,94705
white_apron,94483
hair_tubes,93133
mob_cap,92822
red_shirt,90900
suit,90524
backpack,90313
gem,90131
red_bowtie,90118
blazer,88183
ear_piercing,87694
suspenders,87155
black_leotard,86415
juliet_sleeves,86410
animal_print,86150
crown,85621
shoulder_armor,85586
t-shirt,84595
black_necktie,84074
tassel,83911
grey_shirt,83836
sneakers,83035
brooch,80525
eyewear_on_head,80079
pantyshot,80053
tiara,79167
knee_boots,78885
pink_dress,78719
bandaid,78516
puffy_long_sleeves,78414
black_belt,78293
blue_sailor_collar,77963
wing_collar,77737
hat_ribbon,77714
formal_clothes,77409
white_pantyhose,77273
polka_dot,77081
veil,76865
red_jacket,75385
goggles,75336
school_swimsuit,75107
green_skirt,75026
black_bra,74978
strapless_leotard,74896
hooded_jacket,74769
white_ribbon,74761
loafers,74460
white_shoes,74387
brown_shoes,74059
black_coat,72976
armband,70764
hat_bow,70607
red_hat,69094
white_sailor_collar,68996
china_dress,68829
ribbon_trim,68068
striped_thighhighs,67886
highleg_leotard,67019
white_sleeves,66530
grey_skirt,66393
strapless_dress,66022
hair_bobbles,65946
wristband,65312
maid_apron,64216
red_neckerchief,64065
pelvic_curtain,63945
cloak,63924
brown_boots,63636
cropped_jacket,63435
lace_trim,63271
gauntlets,63188
purple_dress,63076
waist_apron,62680
o-ring,62031
hakama,61657
baseball_cap,61580
sleeves_past_fingers,61184
buckle,61074
casual,60849
bridal_gauntlets,60836
pom_pom_(clothes),60792
blue_necktie,60687
bike_shorts,60093
yellow_bow,59652
string_bikini,59331
pink_panties,58682
peaked_cap,58510
round_eyewear,58311
panty_pull,57811
gold_trim,57737
skirt_set,57330
semi-rimless_eyewear,57139
black_vest,56757
corset,56700
pink_shirt,56578
brown_gloves,56489
camisole,56253
red_shoes,56194
blue_shorts,56091
neck_bell,55932
red_gloves,55593
spikes,55263
white_pants,54978
hand_fan,54690
pink_ribbon,54496
frilled_apron,54304
pink_skirt,54176
jingle_bell,54118
blue_bikini,53818
sweater_vest,53515
bow_panties,53330
micro_bikini,53193
blouse,53109
armlet,52992
green_bow,52788
pocket,52536
black_bowtie,52509
white_coat,52504
