tag,count
simple_background,2334026
white_background,1926770
grey_background,329796
gradient_background,169749
blurry_background,158501
blue_background,156495
transparent_background,133379
pink_background,123394
black_background,106996
yellow_background,83113
red_background,77600
two-tone_background,55805
green_background,55367
brown_background,54500
purple_background,54236
orange_background,36790
floral_background,27969
polka_dot_background,20368
striped_background,15299
aqua_background,14694
multicolored_background,14694
dark_background,13992
checkered_background,11477
photo_background,11167
star_symbol_background,10134
grid_background,9839
greyscale_with_colored_background,9003
heart_background,7869
abstract_background,7454
halftone_background,7244
argyle_background,6734
text_background,6378
sparkle_background,5703
plaid_background,3351
starry_sky_background,3021
3d_background,2779
sunburst_background,2647
paw_print_background,2181
screenshot_background,1432
diagonal-striped_background,1416
snowflake_background,1401
flag_background,1391
dotted_background,1379
monochrome_background,1322
honeycomb_background,1201
game_screenshot_background,1167
vertical-striped_background,1139
leaf_background,1006
rainbow_background,961
colorful_background,877
fiery_background,829
lace_background,781
sketch_background,757
bubble_background,724
food-themed_background,669
splatter_background,560
rose_background,514
sofmap_background,403
fruit_background,360
triangle_background,345
watercolor_background,340
rabbit_background,332
mosaic_background,327
paneled_background,282
explosion_background,263
spiral_background,247
animal_background,241
paper_background,234
gingham_background,212
cloud_background,204
lightning_background,188
weapon_background,187
character_background,168
strawberry_background,166
collage_background,148
radial_gradient_background,145
butterfly_background,136
spider_web_background,134
dithered_background,130
bright_background,127
ai-generated_background,126
magic_circle_background,123
firework_background,120
wavy_background,117
musical_note_background,112
galaxy_background,112
print_background,112
american_flag_background,92
macaron_background,91
oval_background,86
fish_background,85
clover_background,75
three-toned_background,73
cream_background,73
cross_background,72
number_background,72
multicolored_squares_background,70
bat_background,69
scribble_background,68
map_background,68
carrot_background,61
camouflage_background,60
skull_background,45
houndstooth_background,44
column_lineup_background,40
triangular_tiling_background,40
comic_background,39
cherry_background,39
moon_background,39
pill_background,35
doodle_background,34
pumpkin_background,34
cherry_blossom_background,32
bow_background,31
pixelated_background,29
cracked_background,29
arrow_background,28
blueprint_background,27
gear_background,26
moving_background,26
ice_background,24
dragon_background,24
bear_background,21
