tag,count
1girl,7406707
solo,6178238
multiple_girls,1897435
1boy,1785779
2girls,1272033
male_focus,912181
comic,667280
multiple_boys,588002
solo_focus,439239
2boys,386191
3girls,299277
multiple_views,213978
no_humans,189191
pov,159539
4girls,135106
animal,127527
6+girls,102224
1other,97373
3boys,92308
crossover,77881
5girls,70761
faceless,56720
dual_persona,51492
doll,49682
4boys,40864
out_of_frame,40684
6+boys,38645
monster,38288
pov_hands,34590
animal_focus,33921
zoom_layer,30322
dakimakura_(medium),27157
creature,26310
other_focus,23635
multiple_others,22619
5boys,19061
disembodied_hand,18602
everyone,18059
photo_(object),16733
multiple_persona,14797
2others,11614
time_paradox,8768
clone,8132
crowd,7862
people,6750
slime_(creature),4788
look-alike,3739
3others,3617
6+others,3371
4others,1562
absolutely_everyone,1174
5others,845
too_many_cats,792
multiple_dogs,305
