tag,count
blush,3616999
smile,3589789
open_mouth,2972437
closed_eyes,894931
:d,685942
parted_lips,627134
one_eye_closed,538024
grin,296210
tears,283990
:o,231341
v-shaped_eyebrows,224810
v,192995
profile,160627
makeup,160156
expressionless,153187
:3,149169
^_^,137346
frown,134045
nose_blush,130903
blush_stickers,129147
embarrassed,120955
happy,118895
portrait,106458
wavy_mouth,95397
light_smile,93177
clenched_teeth,86954
;d,84650
>_<,82393
pointing,81283
clenched_hand,75066
shaded_face,72036
dot_nose,68061
anger_vein,66786
surprised,65749
^^^,63705
index_finger_raised,63397
angry,54307
clenched_hands,52048
furrowed_brow,51308
:<,49259
:p,48487
eyebrows,46981
@_@,44818
wide-eyed,41805
raised_eyebrows,41344
reaching,39574
:q,39049
cum_in_mouth,36399
+_+,35360
serious,34827
double_v,34762
naughty_face,34489
waving,33349
paw_pose,33249
smirk,32558
:t,32551
=_=,32330
pout,32172
eyebrows_hidden_by_hair,31311
;),30499
heart_hands,30449
full-face_blush,28840
no_nose,28722
o_o,28339
smug,28035
nose,27741
split_mouth,27425
ahegao,24401
w,23802
claw_pose,23212
triangle_mouth,20592
open_hand,20354
salute,19541
evil_smile,19377
chestnut_mouth,18802
own_hands_clasped,18559
scared,18396
:>,18189
drunk,18128
wince,17661
no_mouth,17160
thumbs_up,17149
rolling_eyes,16845
>:),16704
constricted_pupils,16563
annoyed,16448
nosebleed,15780
sad,15157
nervous,14912
:/,14908
pointing_at_viewer,14575
seductive_smile,13093
;o,12216
shy,11849
sleepy,11693
multiple_expressions,11221
0_0,11049
torogao,10978
d:,10924
glaring,10658
mouth_drool,10541
fox_shadow_puppet,10403
xd,10057
fucked_silly,10014
\m/,9707
turn_pale,9669
shushing,9660
raised_eyebrow,9660
3:,9657
pinky_out,9496
steepled_fingers,9438
open_hands,9253
;p,9234
sideways_mouth,8743
pointing_at_self,8680
v_over_eye,8314
evil_grin,8173
pointing_up,7871
dot_mouth,7700
raised_inner_eyebrows,7664
condom_in_mouth,7073
>:(,7039
middle_finger,6928
:>=,6634
penis_awe,6621
thinking,6620
finger_gun,6558
gloom_(expression),6473
rabbit_pose,6366
;q,5834
staring,5808
scowl,5640
twirling_hair,5182
:i,4996
flustered,4970
screaming,4935
ok_sign,4815
worried,4758
heart_in_mouth,4728
confused,4626
fellatio_gesture,4611
aroused,4589
heart_hands_duo,4531
spread_fingers,4399
grimace,4299
;3,4228
sigh,4226
crazy_smile,4101
o3o,4100
smiley_face,3883
curled_fingers,3715
pointing_at_another,3340
index_fingers_together,3331
beckoning,3264
disgust,3194
pain,3145
doyagao,2980
excited,2942
._.,2930
rectangular_mouth,2837
c:,2758
bowing,2723
heart_tail,2717
unamused,2689
exhausted,2677
raised_fist,2667
finger_heart,2639
stroking_own_chin,2631
x_mouth,2547
cupping_hands,2508
curtsey,2421
oral_invitation,2357
determined,2304
mismatched_eyebrows,2155
akanbe,2127
v_over_mouth,2099
struggling,2054
hat_tip,2014
bored,1930
crazy,1805
finger_frame,1798
\n/,1766
panicking,1734
kuji-in,1717
facepalm,1649
gyaru_v,1643
<o>_<o>,1619
stitched_mouth,1612
pointing_forward,1544
two-finger_salute,1528
double_\m/,1472
fidgeting,1315
x3,1233
fist_bump,1230
shrugging,1228
cross-eyed,1207
troll_face,1185
in_heat,1160
finger_counting,1142
forced_smile,1127
sad_smile,1106
afterglow,1078
fingersmile,1070
depressed,1053
thumbs_down,1034
handjob_gesture,1031
high_five,1007
:c,989
mob_face,965
expression_chart,932
x_fingers,880
sobbing,860
peanut_mouth,858
glasgow_smile,852
glowing_mouth,802
x_arms,783
rape_face,779
pointing_down,771
despair,738
lonely,726
diamond_mouth,713
horrified,703
pinky_swear,697
penetration_gesture,696
;<,693
heart_arms,670
breast_awe,655
inward_v,652
frustrated,640
horns_pose,633
tsuki_ni_kawatte_oshioki_yo,626
middle_w,593
fist_in_hand,565
l_hand,543
disappointed,511
double_thumbs_up,505
holding_with_gesture,495
victory_pose,478
foodgasm,477
money_gesture,474
double_finger_gun,465
power_fist,462
gyate_gyate,455
traumatized,453
stifled_laugh,450
shaka_sign,444
color_drain,435
yurie_mouth,416
shadow_puppet,408
uwu,382
t_t,376
disdain,371
sulking,358
cunnilingus_gesture,351
groping_motion,332
dojikko_pose,320
crossed_fingers,319
facial_expression_training,308
heart-shaped_mouth,291
^q^,269
heart_tail_duo,261
face_of_the_people_who_sank_all_their_money_into_the_fx_(meme),255
vulcan_salute,254
fig_sign,246
palm-fist_greeting,242
double_\n/,237
envy,228
carry_me,215
henohenomoheji,203
pensive,201
>3<,195
hollow_mouth,175
number_four_(asl),169
pussy_juice_in_mouth,143
\(^o^)/,142
pointing_spider-man_(meme),127
kamina_pose,123
triangle_hands,123
air_guitar,120
kubrick_stare,115
expression_35,114
palm-fist_tap,107
stop_(gesture),107
pinching_gesture,105
awesome_face,103
hand_glasses,92
muscle_awe,89
ass-to-mouth,89
noogie,85
straight-arm_salute,84
heart_hands_trio,84
snake_mouth,80
+_-,78
circle_hands,68
uso_da,66
double_thumbs_down,62
double_l,55
kitsune_no_mado,55
0w0,54
hurt_expressions_of_your_wife_practice,50
text_in_mouth,48
star_hands,48
no_(gesture),46
slit_throat_(gesture),41
che_vuoi?_(italian_gesture),39
angry_dog_noises_(meme),38
food_awe,34
air_quotes,33
ohhoai,32
excalibur_face,31
shocker_(gesture),30
unzipping_with_mouth,28
guilt,27
slightly_naughty_expressions_practice,25
distress_hand_signal,24
essex_face,20
