tag,count
closed_mouth,1542080
jewelry,1348099
full_body,1063161
upper_body,976086
underwear,955021
braid,787565
monochrome,777860
cowboy_shot,713299
hetero,681060
sweat,654261
teeth,630460
greyscale,621275
horns,578247
sky,546236
alternate_costume,546219
virtual_youtuber,504763
artist_name,496545
indoors,458239
hand_up,445154
official_alternate_costume,437420
day,421406
fang,398937
signature,373841
speech_bubble,369507
cloud,360318
tongue_out,352641
twitter_username,350240
sword,337426
mole,322224
english_text,314574
hair_bun,312171
chibi,310232
striped_clothes,294773
nail_polish,294686
from_behind,288756
from_side,278780
bag,277287
blurry,273739
character_name,258063
clothes_lift,255203
animal_ear_fluff,252994
blue_sky,251656
dated,235482
hands_up,224461
tree,206777
mole_under_eye,201229
upper_teeth_only,199850
sparkle,191890
feet_out_of_frame,190159
pokemon_(creature),186120
border,184832
sketch,181691
pillow,178203
watermark,178078
tattoo,175245
gun,174941
book,170600
plaid_clothes,167213
blood,161340
copyright_name,156298
horse_girl,150621
dutch_angle,148271
night,146203
shadow,144034
highleg,143164
skindentation,142664
on_bed,141193
saliva,138655
siblings,137333
fangs,131106
bed,128895
leaf,126463
chair,125121
facial_mark,124524
from_above,123714
depth_of_field,120342
thick_eyebrows,119821
white_flower,119215
military,118517
white_border,117038
4koma,115966
muscular_male,115407
bed_sheet,114826
bright_pupils,111601
demon_horns,108737
female_pubic_hair,108318
stuffed_toy,106342
parody,106282
demon_girl,105188
furry,104645
table,104300
fox_girl,102911
from_below,102178
sharp_teeth,101989
headgear,101021
motion_lines,99020
clothes_pull,98352
bound,97995
black_nails,95741
sunlight,95451
grass,95318
magical_girl,95306
mouth_hold,94932
x_hair_ornament,94430
cloudy_sky,94242
moon,94082
red_flower,93660
light_blush,92978
feathers,92734
thigh_gap,92407
denim,89765
couple,88069
elf,86958
bug,86396
cover,84964
scar_on_face,84328
curtains,82152
facing_viewer,81305
sisters,80576
aged_down,79951
lifting_own_clothes,79342
skin_fang,77972
katana,77574
pink_flower,76809
star_(sky),73896
outside_border,73818
staff,73480
monster_girl,73406
red_nails,72118
single_thighhigh,71319
instrument,71073
light_particles,70361
night_sky,69721
towel,69244
lipstick,68993
child,68744
polearm,68474
claws,67667
box,67533
butterfly,67430
scenery,67073
logo,66200
letterboxed,66143
outline,65714
couch,65256
wind,64910
mole_under_mouth,64826
official_alternate_hairstyle,63065
sheath,62546
adapted_costume,62198
web_address,61482
nature,61329
blue_nails,60808
cropped_legs,60364
pink_nails,60296
cover_page,60276
colored_sclera,59088
breath,59017
looking_away,57834
tearing_up,57556
male_pubic_hair,57539
genderswap,56959
cropped_torso,56769
restrained,56595
androgynous,56384
close-up,56031
blue_flower,55964
dragon_horns,55709
motor_vehicle,55545
patreon_username,55231
clothes_writing,53069
happy_birthday,53045
one_eye_covered,52644
christmas,52483
large_pectorals,52181
freckles,51915
spot_color,51642
front-tie_top,51444
veins,51342
