tag,count
heart,737807
outdoors,677205
food,545894
star_(symbol),303345
sweatdrop,285365
water,266865
cup,225921
wet,179196
window,160998
petals,156109
fruit,134086
bird,131014
rose,129548
ocean,127353
phone,124885
cat_girl,121707
cellphone,116248
beach,116143
flying_sweatdrops,110005
smartphone,101511
cat,101187
fire,92451
cross,91076
plant,89841
bottle,88167
?,87970
stuffed_animal,86402
robot,80397
knife,79706
cherry_blossoms,66809
...,66261
musical_note,65969
steam,65906
crescent,65129
candy,64795
microphone,63626
spoken_heart,59955
wet_clothes,58200
plate,56305
mecha,50903
science_fiction,50747
drinking_glass,50126
ball,49929
snow,49200
!,48170
cake,47857
spoken_ellipsis,45577
tray,45500
fish,45424
alcohol,44453
personification,43686
rain,43042
teacup,39640
bowl,39638
notice_lines,39265
dog,38089
drinking_straw,37825
bouquet,35735
mug,34818
lollipop,34366
lantern,33942
popsicle,33684
card,33111
can,32944
ice,32887
!?,32385
arrow_(symbol),32145
city,31291
spoon,31123
ice_cream,31079
strawberry,30709
drink,30617
chopsticks,30544
fork,30040
chocolate,29488
bow_(weapon),29243
underwater,27738
android,27690
door,27615
apple,27318
sunflower,26635
card_(medium),26368
eighth_note,26350
spoken_question_mark,25840
car,25186
food-themed_hair_ornament,24605
cable,24305
basket,23740
duel_monster,23659
+++,23645
electricity,23348
pool,22977
candle,22832
glass,22623
cityscape,21257
id_card,21209
jack-o'-lantern,20780
space,20354
beachball,20077
wet_shirt,19798
squiggle,19702
fantasy,19531
pocky,19266
wine_glass,19044
field,18378
bread,18365
animal_nose,17926
computer,17874
teapot,17826
airplane,17564
spoken_exclamation_mark,17225
black_cat,17206
carrot,16859
diamond_(shape),16656
animalization,16237
fireworks,15767
wagashi,15662
puff_of_air,15657
hibiscus,15656
torii,15330
mecha_musume,15318
pumpkin,15281
monitor,15168
bath,14976
tea,14958
donut,14672
east_asian_architecture,14668
cat_boy,14275
playing_card,14079
peach,13971
mushroom,13955
explosion,13937
sliding_doors,13736
food_focus,13734
cookie,13375
burger,13065
power_lines,12800
hammer,12667
syringe,12615
cherry,12505
watermelon,12207
squeans,11940
saucer,11852
bathtub,11823
baseball_bat,11766
coffee,11717
rice,11626
yin_yang,11451
egg,11429
flower_field,11349
cyborg,11323
whiskers,11280
poolside,11255
beer,11240
spoken_musical_note,11139
iron_cross,11077
sakazuki,10984
tank,10964
beamed_eighth_notes,10856
wine,10744
lily_(flower),10493
blue_fire,10164
laptop,10058
meat,9985
nekomata,9921
orb,9910
river,9842
ice_cream_cone,9819
mobile_suit,9658
single_mechanical_arm,9618
noodles,9587
fox,9549
dango,9377
radio_antenna,9248
wolf,9113
poster_(object),9028
coffee_mug,9022
sake,8964
trading_card,8897
spoken_blush,8878
beer_mug,8847
onigiri,8832
microphone_stand,8814
barcode,8809
orange_(fruit),8765
chess_piece,8701
penguin,8635
grapes,8624
lightning_bolt_symbol,8557
rose_petals,8417
kitchen,8330
cat_hair_ornament,8219
ship,8099
boat,8084
painting_(object),8083
crow,8069
ladle,7988
spring_onion,7944
heart-shaped_chocolate,7898
road_sign,7890
crab,7847
computer_keyboard,7827
open_door,7805
triangle,7778
gears,7696
spider_lily,7658
chick,7647
hydrangea,7633
power_armor,7616
doorway,7586
jar,7485
shop,7301
white_cat,7286
macaron,7210
lake,7208
transformation,7194
hose,7133
gourd,7103
pentagram,7019
lemon,6969
chewing_gum,6932
tomato,6919
circle,6901
cat_hood,6894
tomoe_(symbol),6818
spoken_squiggle,6786
command_spell,6749
mandarin_orange,6723
pizza,6621
milk,6620
food_on_body,6521
cat_lingerie,6499
spacesuit,6484
spoken_interrobang,6449
seagull,6336
cat_cutout,6324
parfait,6317
spacecraft,6240
sandwich,6238
vegetable,6166
candy_apple,6140
spoken_anger_vein,6099
shouji,6092
tiger,6082
showering,6056
duck,6054
wrench,5977
latin_cross,5970
pancake,5956
soccer_uniform,5950
banana,5921
sushi,5883
cupcake,5875
bar_(place),5862
cheese,5812
steamed_bun,5787
mitsudomoe_(shape),5760
spade_(shape),5724
chicken,5701
cream,5670
soda_can,5668
train,5662
mochi,5656
frying_pan,5596
treble_clef,5587
chips_(food),5535
toy,5513
french_fries,5337
basketball_(object),5259
birthday_cake,5238
lotus,5227
pill,5161
ramen,5120
